Aircraft,Company,Photo,Origin,Type,Versions,In Service,Airport,Manned,BVR kill chain,Associated products,country
Lockheed C-130J Super Hercules,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/16-5843_-_United_States_-_US_Air_Force_%28USAF%29_-_Lockheed_C-130J-30_Super_Hercules_-_VGHS.jpg/1280px-16-5843_-_United_States_-_US_Air_Force_%28USAF%29_-_Lockheed_C-130J-30_Super_Hercules_-_VGHS.jpg,United States,Tactical Airlifter,C-130J-30,3,Évreux-Fauville Air Base,Yes,"Joint Franco-German squadron asset for rapid fighter/radar deployment and ISR cueing; modern avionics for austere basing; 3 operational at Évreux (shared), supporting BVR surge with 2 more planned. F2T2EA: Deploys radars for Find; ISR Track cueing; Targets rapid; Engage support; Assess avionics.","Modern avionics, ISR cueing, Panavia Tornado",de
Bombardier Global 6000,Bombardier,https://upload.wikimedia.org/wikipedia/commons/0/06/Bombardier_Global_6000_-_Hensoldt_PEGASUS.png,Canada,SIGINT / ISR,Global 6000 (Pegasus),3,Köln-Wahn Air Base,Yes,"ELINT platform with Rivet Joint-like suite for enemy radar/missile detection (200+ km), cueing Typhoon launches via datalink; Flugbereitschaft at Köln, upgrades in 2025 for GPS-denied environments; operational deployment commenced Aug 2025. F2T2EA: ELINT Find threats; Cues Track datalink; Targets Typhoon launches; Engage SIGINT; Assess GPS-denied.","Rivet Joint-like SIGINT suite, datalink, Eurofighter Typhoon",de
Airbus A310 MRTT,Airbus Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/KC-30A_RAAF_YBBN_20111106.jpg/1280px-KC-30A_RAAF_YBBN_20111106.jpg,Germany,Aerial Refueling Tanker,A310 MRTT,0,Köln-Wahn Air Base,Yes,"Legacy MRTT with hose/drogue for sustaining BVR patrols; Flugbereitschaft at Köln, fully retired by 2022, bridging to A350 MRTT (6 on order); enables NATO interoperability for extended envelopes. F2T2EA: Refueling sustained Engage; Extends envelopes; Targets interoperability; Assess legacy (retired).","Hose/drogue system, Eurofighter Typhoon, A350 MRTT",de
Eurodrone,European EuroMALE Consortium,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/OJ_L_202401972_of_2024_-_DE_German.pdf/page1-1280px-OJ_L_202401972_of_2024_-_DE_German.pdf.jpg,Germany,MALE UAV,Eurodrone,0,Manching Air Base,No,"Persistent ISR with AESA radar (100 km) and EO/IR (50 km), cueing Typhoons via SATCOM/Link-16; integrated into German BVR kill web from 2028; capable of electronic support and decoy deployment; 5 prototypes undergoing trials (2025), 21 ordered for Luftwaffe. F2T2EA: AESA/EO Find; Tracks persistent; Cues Typhoon via Link-16; Targets decoys; Assess SATCOM resilience.","AESA radar, Link-16 datalink, decoy dispensers",de
MQ-9B SkyGuardian,General Atomics,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/230430-F-UB655-0721_-_AFSOC%2C_Total_Force_landed_MC-130J%2C_MQ-9%2C_A-10s%2C_MH-6s_on_Wyoming_Highways.jpg/1280px-230430-F-UB655-0721_-_AFSOC%2C_Total_Force_landed_MC-130J%2C_MQ-9%2C_A-10s%2C_MH-6s_on_Wyoming_Highways.jpg,United States,MALE UAV,MQ-9B SkyGuardian,0,Not yet stationed,No,"Maritime/land ISR with Lynx SAR/GMTI radar, 30+ hr endurance, detects air/surface threats out to 150 km; feeds real-time targeting to NATO fighters via SATCOM; UK/US trials with Typhoon integration ongoing; potential Luftwaffe acquisition post-2026. F2T2EA: SAR/GMTI Find; Tracks surface/air; Cues via SATCOM; Targets networked; Assess NATO interoperability.","Lynx SAR/GMTI radar, SATCOM, Link-16 gateway",de
Lockheed Martin F-35B Lightning II,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/F-35B_after_vertical_landing.jpg/1280px-F-35B_after_vertical_landing.jpg,United States,V/STOL Stealth Multirole Fighter,F-35B,39,RAF Marham,Yes,"Joint RAF/FAA platform with AN/APG-81 AESA radar (200+ km detection), sensor fusion, and internal 4-6 Meteor/AIM-120D bays for stealthy BVR; MADL datalink enables cooperative kills via E-7 cueing to 200 km envelope; 48 total delivered by end-2025, with 39 operational across 617/207 Sqn (RAF) and 809 NAS (FAA). F2T2EA: AN/APG-81 fusion Find; Tracks network; Targets AIM-120D/Meteor; Engage 5th gen; Assess sensor fusion.","AN/APG-81 AESA radar, Meteor long-range BVR missile, AIM-120D AMRAAM, E-7 Wedgetail",uk
Eurofighter Typhoon,BAE Systems,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/RAF_Eurofighter_Typhoon.jpg/1200px-RAF_Eurofighter_Typhoon.jpg,United Kingdom,Multirole Fighter,FGR4,102,"RAF Coningsby, RAF Lossiemouth",Yes,"Tranche 2/3 backbone with CAPTOR-E AESA (250 km range), thrust-vectoring, and 6-8 Meteor missiles for high-Pk BVR; integrates with Link-16 for NATO ops; Tranche 1 retirement ongoing (26 active, Falklands-based to 2027), total fleet ~120 pre-retirements but 102 combat-coded post-2025 adjustments. F2T2EA: AESA for advanced Find/Fix; Enables Track at range; Supports Target cueing; Engage Meteor; Assess via EW suite.","Meteor long-range BVR missile, EJ200 engine, Typhoon Captor-E AESA radar",uk
Boeing E-7 Wedgetail,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/A30-001_in_flight_over_the_United_States_in_April_2025.jpg/1280px-A30-001_in_flight_over_the_United_States_in_April_2025.jpg,United States,Airborne Early Warning & Control,AEW.1,3,RAF Lossiemouth,Yes,"E-3 replacement with MESA AESA radar (400 km horizon) for off-board targeting and mid-course Meteor updates; full operational capability achieved 2025 with No. 8 Sqn; reduced from 5 to 3, but 2025 defence review eyes additions for persistent BVR coverage. F2T2EA: MESA AESA Find/Fix horizon; Tracks off-board; Targets Meteor updates; Engage directed; Assess coverage.","MESA AESA radar, Link-16, Meteor long-range BVR missile",uk
Boeing RC-135W Rivet Joint,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/RC-135_Rivet_Joint_2008.jpg/1280px-RC-135_Rivet_Joint_2008.jpg,United States,SIGINT / Electronic Warfare,Airseeker,3,RAF Waddington,Yes,"ELINT platform with River Joint suite for enemy radar/missile cueing, suppressing threats to enable Typhoon/F-35 salvos; No. 51 Sqn ops integrate via Link-16; all 3 delivered and upgraded by 2025 for GPS-denied environments. F2T2EA: River Joint suite Find threats; Tracks cueing/suppression; Targets IADS; Engage enabled; Assess GPS-denied.","River Joint suite, Link-16, F-35B Lightning II",uk
Bombardier Global Express,Bombardier,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Bombardier_BD-700-1A10_Global_Express_XRS%2C_Private_JP7244730.jpg/1280px-Bombardier_BD-700-1A10_Global_Express_XRS%2C_Private_JP7244730.jpg,Canada,ISTAR / Battlefield Surveillance,Shadow R1,8,RAF Waddington,Yes,"Upgraded Global 6000 with Litening pods and SAR/GMTI radar for persistent targeting (200 km range); supports BVR via datalink fusion; fleet expanded to 9 but 8 operational by 2025, OSD 2030 pending Protector transition. F2T2EA: SAR/GMTI Find/Fix persistent; Tracks datalink; Targets fusion; Engage BVR support; Assess Litening.","Litening pods, SAR/GMTI radar, datalink",uk
Raytheon Sentinel,Raytheon,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Raf-sentinel-ZJ692-071023-27-16.jpg/1280px-Raf-sentinel-ZJ692-071023-27-16.jpg,United States,ISTAR / Airborne Ground Surveillance,R2,3,RAF Waddington,Yes,Retained Global Express-based with ASaC radar (300 km) for cueing despite E-7 arrival; No. 5 Sqn provides gap-filler for networked BVR; upgrades extended service to 2025+ amid delays in replacements. F2T2EA: ASaC radar Find/Fix; Tracks cueing; Targets gap-filler; Engage networked; Assess upgrades.,"ASaC radar, E-7 Wedgetail",uk
Airbus A330 Voyager,Airbus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Airbus_A330-243_MRTT_from_AirTanker%2C_the_new_multi-role_tanker_transport_aircraft_for_the_Royal_Air_Force_to_be_known_as_Voyager%2C_at_the_Royal_International_Air_Tattoo%2C_RAF_Fairford_MOD_45152973.jpg/1280px-Airbus_A330-243_MRTT_from_AirTanker%2C_the_new_multi-role_tanker_transport_aircraft_for_the_Royal_Air_Force_to_be_known_as_Voyager%2C_at_the_Royal_International_Air_Tattoo%2C_RAF_Fairford_MOD_45152973.jpg,France,Tanker / Multi-role Transport,KC2,14,RAF Brize Norton,Yes,"MRTT with boom/probe refueling for 2+ hour BVR extensions on F-35/Typhoon; No. 10/101 Sqn ops; full fleet operational, enabling carrier strike group sustainment with Queen Elizabeth-class. F2T2EA: Boom/probe extends Track/Engage; Sustains carrier; Targets 2+ hour; Assess fleet.","Boom/probe refueling, F-35B Lightning II, Eurofighter Typhoon",uk
General Atomics MQ-9 Reaper,General Atomics,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/MQ-9_Reaper_in_flight_%282007%29.jpg/1280px-MQ-9_Reaper_in_flight_%282007%29.jpg,United States,Unmanned ISR / Strike,MQ-9A,10,RAF Waddington,No,Persistent UAS with Lynx SAR (50 km) and Hellfire/GBU-12 for attritable BVR support; No. 13/39 Sqn transitioning to Protector RG1 (10 delivered by Nov 2025); integrates datalinks for cueing manned assets in contested airspace. F2T2EA: Lynx SAR Find/Fix persistent; Tracks datalinks; Targets attritable; Engage support; Assess contested.,"Lynx SAR, Hellfire missile, datalinks",uk
Eurofighter Typhoon Captor-E AESA radar,Leonardo,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,United Kingdom,Airborne AESA Fire Control Radar,Captor-E,0,,No,AESA upgrade for Typhoon with 250 km detection and multi-target tracking; full rollout 2025 for enhanced BVR. F2T2EA: AESA for advanced Find/Fix; Enables Track at range; Supports Target cueing; Engage Meteor; Assess via EW suite.,"Meteor long-range BVR missile, EJ200 engine, Typhoon Captor-E AESA radar",uk
LANCA loyal-wingman demonstrator,BAE Systems,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,United Kingdom,Loyal Wingman Demonstrator,LANCA,0,,No,Demonstrator for Typhoon sensor extension and EW roles; first flight 2025 under Tempest program. F2T2EA: Demonstrator for Find via integrated sensors; Tracks with EW; Targets Meteor/SPEAR; Engage internal bay; Assess future ops.,"Meteor long-range BVR missile, Eurofighter Typhoon Captor-E AESA radar, EJ200 engine",uk
MICA-NG,MBDA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,France,Medium-Range Air-to-Air Missile,MICA-NG,0,,No,Upgraded dual-mode (IR/RF) BVR missile with 80 km range; NG variant IOC 2025 for Typhoon integration. F2T2EA: Medium Engage dual seeker; Tracks Rafale/Typhoon; Targets versatile; Assess NG upgrades.,"Rafale F4, RBE2-AA AESA radar, SPECTRA EW suite",uk
Meteor long-range BVR missile,MBDA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,United Kingdom,Long-Range Air-to-Air Missile,Meteor,0,,No,Ramjet-powered BVR missile with 200+ km range; full UK integration on Typhoon/F-35 by 2025. F2T2EA: Ramjet Engage no-escape; Post-Track by Captor-E; Targets Eurofighter/Rafale; Assess active seeker.,"Eurofighter Typhoon Captor-E AESA radar, Rafale F4, RBE2-AA AESA radar",uk
F-35A Lightning II,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/First_F-35_headed_for_USAF_service.jpg/1280px-First_F-35_headed_for_USAF_service.jpg,United States,Multirole Stealth Fighter,F-35A,42,"Misawa Air Base, Komatsu Air Base",Yes,"CTOL 5th-gen with AN/APG-81 AESA radar (200+ km detection), sensor fusion, and internal 4 AIM-120D/AAM-4B bays for stealthy BVR; EOTS-2 targeting and MADL/Link-16 enable cooperative kills with E-767 cueing to 160 km envelope; 42 operational across 3 squadrons (Komatsu, Misawa, etc.), with 105 more on order toward 147 total. F2T2EA: AN/APG-85 Find/Fix fusion; Tracks datalink; Targets AIM-120/260; Engage stealth; Assess FACO.","AN/APG-85 AESA, AIM-260 JATM, F135 engine",jpn
F-15 Eagle,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/FA-18E_of_VFA-27_in_flight_with_JASDF_F-15_Eagles_in_February_2015.JPG/1280px-FA-18E_of_VFA-27_in_flight_with_JASDF_F-15_Eagles_in_February_2015.JPG,United States,Air Superiority Fighter,"F-15J MSIP, F-15DJ",199,"Naha Air Base, Komatsu Air Base, Chitose Air Base",Yes,"Upgraded 4.5-gen with AN/APG-82(V)1 AESA (250 km range), thrust-vectoring, and 8-12 AIM-120D pylons for high-volume BVR; J-MSIP mods add conformal tanks and datalink for sustained ops; dual-seat trainers with identical capabilities; core interceptor fleet across 10+ squadrons, integrated with FPS-5 radars for 160 km effective range. F2T2EA: AN/APG-82 Find/Fix large volume; Tracks conformal; Targets AIM-120D; Engage high-volume; Assess datalink.","AN/APG-82(V)1 AESA, AIM-120D AMRAAM, conformal tanks",jpn
Mitsubishi F-2,Mitsubishi Heavy Industries,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/US%E2%80%93Japan_air_formation_over_Pacific%2C_2017.jpg/1280px-US%E2%80%93Japan_air_formation_over_Pacific%2C_2017.jpg,Japan,Multirole Fighter,F-2A/B,88,"Tsuiki Air Base, Chitose Air Base",Yes,"Enlarged F-16 derivative with J/APG-1 AESA (150 km), fly-by-wire, and 6 AIM-120C-7/AAM-4B missiles; excels in maritime strike/BVR with conformal loads; tandem-seat trainers with identical radar for tactics; indigenous production by Mitsubishi, forming 4 squadrons for forward defense, supports networked cueing via E-2D for 130 km engagements. F2T2EA: AESA Find/Fix for F-2; Tracks AAM-4B; Targets cueing; Engage BVR; Assess Japanese.","J/APG-2 AESA, AAM-4B active radar BVR missile, conformal loads",jpn
Boeing E-767,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/A_Japanese_Air_Self_Defense_Force_E-767_takes_off_for_a_training_mission_030530-F-XU966-004.jpg/1280px-A_Japanese_Air_Self_Defense_Force_E-767_takes_off_for_a_training_mission_030530-F-XU966-004.jpg,United States,Airborne Early Warning & Control,E-767,4,Hamamatsu Air Base,Yes,"AWACS with MESA AESA radar (400 km horizon) for off-board targeting and mid-course AIM-120 updates; critical kill-chain enabler for F-35/F-15 salvos; all 4 operational at Hamamatsu AB, upgraded in 2024 for IFF Mode 5. F2T2EA: MESA AESA Find/Fix horizon; Tracks off-board; Targets AIM-120 updates; Engage directed; Assess IFF.","MESA AESA radar, Link-16, AIM-120D AMRAAM",jpn
Northrop Grumman E-2 Hawkeye,Northrop Grumman,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Grumman_E-2C_Hawkeyes_of_VAW-115_fly_past_Mount_Fuji_on_15_February_2007_%28070215-N-2604L-024%29.jpg/1280px-Grumman_E-2C_Hawkeyes_of_VAW-115_fly_past_Mount_Fuji_on_15_February_2007_%28070215-N-2604L-024%29.jpg,United States,Airborne Early Warning & Control,E-2D,13,Misawa Air Base,Yes,"Carrier-incompatible but land-based AEW with APS-145 radar (400 km) and CEC for cooperative BVR; 4 E-2C upgraded to D standard by 2025, plus 9 new-builds IOC; No. 31st Sqdn provides persistent coverage for Typhoon Strait. F2T2EA: APS-145 Find/Fix; Tracks CEC; Targets cooperative; Engage BVR; Assess persistent.","APS-145 radar, CEC, F-15 Eagle",jpn
Boeing KC-46A Pegasus,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/2024_Milwaukee_Air_and_Water_Show_185_%28United_States_Air_Force_Boeing_KC-46_Pegasus%29.jpg/1280px-2024_Milwaukee_Air_and_Water_Show_185_%28United_States_Air_Force_Boeing_KC-46_Pegasus%29.jpg,United States,Aerial Refueling / Multi-role Transport,KC-46A,4,Miho Air Base,Yes,"MRTT with boom/receptacle refueling for 2+ hour BVR extensions on F-15J/F-35A; remote vision system enhances ops; 4 delivered by Nov 2025 (2 more on order), replacing KC-767 for Pacific sustainment. F2T2EA: Refueling extends Track/Engage; Sustains Pacific; Targets 2+ hour; Assess remote vision.","Boom/receptacle refueling, remote vision system, F-35A Lightning II",jpn
Combat Support Drone CCA,Mitsubishi Heavy Industries,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Japan,Collaborative Combat Aircraft,Combat Support Drone,0,Gifu Air Base (developmental),No,"Loyal wingman concept for F-35A sensor relay and missile truck roles; development under GCAP, first flight expected 2027. F2T2EA: Support Find datalink to F-35A; Tracks relay; Targets future AAM; Engage bay; Assess drone.","F-35A, AAM-4B active radar BVR missile, J/APG-2 AESA",jpn
J/APG-2 AESA,Mitsubishi Electric,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Japan,Airborne AESA Fire Control Radar,J/APG-2,0,N/A (radar system),No,"Active Electronically Scanned Array radar for F-2/F-15J with 200 km detection; full deployment 2025, supporting AAM-4B guidance. F2T2EA: AESA Find/Fix for F-2; Tracks AAM-4B; Targets cueing; Engage BVR; Assess Japanese.","AAM-4B active radar BVR missile, F-35A, Combat Support Drone CCA",jpn
J/APG-2 AESA Radar Backend,NEC Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Japan,AESA Radar Backend / Signal Processing,J/APG-2 Backend,0,N/A (system component),No,"NEC-developed backend for signal processing in J/APG-2, enhancing multi-target tracking for BVR. F2T2EA: Backend processing Find/Fix; Tracks AAM-4B; Targets signal; Engage BVR; Assess Japanese.","J/APG-2 AESA, AAM-4B active radar BVR missile, NEC signal processing",jpn
Chengdu J-10 Vigorous Dragon,Chengdu Aircraft Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/J-10B_with_PL-10_and_PL-12.jpg/1280px-J-10B_with_PL-10_and_PL-12.jpg,China,Multirole Fighter,J-10CE,20,PAF Base Minhas,Yes,KLJ-7A AESA Find/Fix (170 km detection); Tracks agile threats via fly-by-wire; Targets high-threat intercepts; Engage 6-8 PL-15E missiles; Assess networked shots with ZDK-03/Erieye datalinks for 150+ km envelopes.,"KLJ-7A AESA radar, PL-15E missile, ZDK-03 AEW&C, Erieye AEW&C",pk
PAC JF-17 Thunder,Pakistan Aeronautical Complex,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Pakistan_JF-17_%28modified%29.jpg/1280px-Pakistan_JF-17_%28modified%29.jpg,Pakistan,Multirole Fighter,JF-17 Block 3 (incl. B),156,"PAF Base Minhas, PAF Base Mushaf",Yes,KLJ-7A AESA Find/Fix (160 km); Tracks sustained via composite airframe; Targets lofted launches; Engage 6 PL-15/PL-12 pylons; Assess AEW cueing for 150 km envelope across 10+ squadrons.,"KLJ-7A AESA radar, PL-15 missile, PL-12 missile, Erieye AEW&C",pk
General Dynamics F-16 Fighting Falcon,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/84606_General_Dynamics_F-16BM_11%28MR%29_39W_Pakistan_Air_Force_Konya_AFB_30.6.22_%2852233200683%29.jpg/1280px-84606_General_Dynamics_F-16BM_11%28MR%29_39W_Pakistan_Air_Force_Konya_AFB_30.6.22_%2852233200683%29.jpg,United States,Multirole Fighter,F-16A/B/C/D MLU/Block 52+,75,"PAF Base Shahbaz, PAF Base Mushaf",Yes,AN/APG-68(V)5/9 radar Find/Fix (100-120 km); Tracks hybrid ops via Link-16; Targets SEAD-BVR with HARM; Engage 6 AIM-120C-5; Assess US-allied exercises for 110 km effective range.,"AN/APG-68(V)5/9 radar, AIM-120C-5 missile, Link-16, HARM missile",pk
Saab 2000 Erieye AEW&C,Saab,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Saab_2000_Erieye.jpg/1280px-Saab_2000_Erieye.jpg,Sweden,Airborne Early Warning & Control,Saab 2000 Erieye,9,PAF Base Minhas,Yes,AESA radar Find/Fix (350 km horizon); Tracks off-board threats; Targets mid-course PL-15/AIM-120 updates; Engage networked salvos; Assess indigenous datalinks for 150 km JF-17/J-10 envelopes.,"AESA radar, PL-15 missile, AIM-120 missile, datalinks",pk
Shaanxi ZDK-03 Karakoram Eagle,Shaanxi Aircraft Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Pakistan_Air_Force_Shaanxi_ZDK-03_%28Y-8%29_inflight.jpg/1280px-Pakistan_Air_Force_Shaanxi_ZDK-03_%28Y-8%29_inflight.jpg,China,Electronic Warfare / AEW,Y-8F-600 based,4,PAF Base Masroor,Yes,400 km sensors Find/Fix for jamming; Tracks enemy IADS; Targets degradation/cueing; Engage hybrid Sino-Pak networks; Assess re-roled EW for 140 km effective BVR support.,"400 km sensors, EW/ESM/ECM systems",pk
Ilyushin Il-78 Midas,Ilyushin,https://upload.wikimedia.org/wikipedia/commons/3/3d/Ilyushin_IL-78_Midas%2C_Russia_-_Air_Force_JP7607201.jpg,Russia,Aerial Refueling Tanker,Il-78MP,4,PAF Base Nur Khan,Yes,Probe refueling extends Find/Track (2+ hours); Supports Engage on F-16/JF-17; Targets persistent patrols; Assess Erieye integration for sustained BVR ops at Nur Khan.,"Probe refueling system, Erieye AEW&C",pk
Sukhoi Su-57,Sukhoi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Sukhoi_Design_Bureau%2C_054%2C_Sukhoi_T-50_%28Su-57_prototype%29_%2849581303977%29.jpg/960px-Sukhoi_Design_Bureau%2C_054%2C_Sukhoi_T-50_%28Su-57_prototype%29_%2849581303977%29.jpg,Russia,Multirole Stealth Fighter,Su-57,24,Dzyomgi Air Base,Yes,"Russia's 5th-gen platform with N036 Byelka AESA radar (400 km detection), internal bays for 6 R-77M/R-37M BVR missiles, and low RCS for first-shot advantage; integrates with A-50U via secure datalinks for 350+ km networked envelopes; 2024 deliveries boosted to 3 squadrons by late 2025. F2T2EA: Su-57 Find/Fix; Tracks R-77M; Targets seeker S-111; Engage BVR; Assess Byelka.","N036 Byelka AESA, R-77M hypersonic BVR missile, S-111 BVR seeker",rus
Sukhoi Su-35S,Sukhoi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Russian_Air_Force_Sukhoi_Su-35_Belyakov.jpg/1280px-Russian_Air_Force_Sukhoi_Su-35_Belyakov.jpg,Russia,Air Superiority Fighter,Su-35S,91,"Besovets Air Base, Centralnaya Uglovaya Air Base",Yes,"4.5-gen supermaneuverable jet with Irbis-E PESA radar (400 km range), thrust-vectoring, and 12 external BVR missiles (up to 8 R-37M); excels in lofted launches and ECCM for high Pk at NEZ; core of VKS fighter fleet, with 16 added in 2024. F2T2EA: Irbis-E Find/Fix; Tracks thrust-vector; Targets R-37M; Engage lofted; Assess ECCM.","Irbis-E PESA radar, R-37M hypersonic BVR missile, L402 Himalayas EW suite",rus
Sukhoi Su-30SM,Sukhoi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Sukhoi_Su-30MK_of_the_Russian_Air_Force.jpg/500px-Sukhoi_Su-30MK_of_the_Russian_Air_Force.jpg,Russia,Multirole Fighter,Su-30SM/SM2,70,"Kursk Vostochny Airport, Kubinka Air Base",Yes,"Twin-seat long-range platform with Bars-R AESA radar (200+ km), 12-missile BVR loadout, and thrust-vectoring for sustained engagements; SM2 upgrades add hypersonic R-37M; vital for two-ship tactics and A-50 cueing, with 4 more delivered in 2024. F2T2EA: Bars-R Find/Fix; Tracks 12-missile; Targets R-37M; Engage two-ship; Assess upgrades.","Bars-R AESA radar, R-37M hypersonic BVR missile, A-50U",rus
Mikoyan MiG-31,Mikoyan,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Mikoyan-Gurevich_MiG-31BM%2C_Russia_-_Air_Force_AN2221622.jpg/1280px-Mikoyan-Gurevich_MiG-31BM%2C_Russia_-_Air_Force_AN2221622.jpg,Russia,Interceptor,MiG-31BM/BSM,114,"Savasleyka Air Base, Borisovsky Khotilovo Air Base",Yes,"Mach 2.8 high-altitude interceptor with Zhuk-MS upgrade (300 km detection), specialized for 4-6 R-37M launches against AWACS/tankers; extends BVR envelope to 400 km via OTH integration; backbone of air defense, with ongoing BM modernizations. F2T2EA: Zhuk-MS Find/Fix high-alt; Tracks R-37M; Targets AWACS; Engage 400 km; Assess OTH.","Zhuk-MS radar, R-37M hypersonic BVR missile, OTH integration",rus
Sukhoi Su-34,Sukhoi,https://upload.wikimedia.org/wikipedia/commons/0/0f/Russian_military_aircraft_at_Latakia%2C_Syria_%288%29.jpg,Russia,Strike Fighter,Su-34M,129,Morozovsk Air Base,Yes,"Armored multirole with Kopyo-34 AESA (200 km), 8-12 BVR missiles, and Khibiny EW suite for self-protection; supports SEAD/BVR in contested airspace; fleet grew by 24 in 2024, emphasizing hybrid manned-unmanned ops with Lancet drones. F2T2EA: Kopyo-34 Find/Fix; Tracks Khibiny; Targets 8-12 BVR; Engage SEAD; Assess hybrid.","Kopyo-34 AESA, Khibiny EW suite, R-77M hypersonic BVR missile",rus
Mikoyan MiG-29,Mikoyan,https://upload.wikimedia.org/wikipedia/commons/d/d9/Russian_Air_Force_Mikoyan-Gurevich_MiG-29S_Naumenko-1.jpg,Russia,Multirole Fighter,MiG-29SMT/UBT,47,Kursk Vostochny Air Base,Yes,"Upgraded 4th-gen with Zhuk-ME AESA radar (160 km), conformal fuel tanks for extended loiter, and 6 R-77M pylons; cost-effective BVR filler for forward basing; ~15 active post-2022 losses, with upgrades focusing on datalink compatibility. F2T2EA: Zhuk-ME Find/Fix; Tracks conformal; Targets R-77M; Engage forward; Assess datalink.","Zhuk-ME AESA radar, R-77M hypersonic BVR missile, conformal fuel tanks",rus
Sukhoi Su-27,Sukhoi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Russian_Air_Force_Victory_Day_Parade_2008.ogv/320px--Russian_Air_Force_Victory_Day_Parade_2008.ogv.jpg,Russia,Air Superiority Fighter,Su-27SM3,19,Krymsk Air Base,Yes,"Modernized Flanker baseline with Bars radar (200 km) and 10 BVR missiles; bridges to Su-35 in reserves; limited but reliable for surge ops, integrated with L-band ground radars for cueing. F2T2EA: Bars Find/Fix; Tracks 10 BVR; Targets surge; Engage reserves; Assess L-band.","Bars radar, R-77M hypersonic BVR missile, L-band ground radars",rus
Beriev A-50,Beriev,https://upload.wikimedia.org/wikipedia/commons/7/74/Russia_stamp_2020_%E2%84%96_2714.jpg,Russia,Airborne Early Warning & Control,A-50U,12,Ivanovo Severny Air Base,Yes,Upgraded AEW with Vega-M radar (400 km horizon) for off-board targeting and mid-course missile updates; critical kill-chain enabler despite losses (6 operational post-upgrades); 2025 focus on Il-76A-90 replacements. F2T2EA: Vega-M Find/Fix horizon; Tracks off-board; Targets missile updates; Engage enabler; Assess upgrades.,"Vega-M radar, secure datalinks, Sukhoi Su-57",rus
N036 Byelka AESA,Tikhomirov NIIP,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/PAK_FA_AESA_maks2009.jpg/1280px-PAK_FA_AESA_maks2009.jpg,Russia,Airborne AESA Fire Control Radar,N036 Byelka,0,,No,Side-looking AESA radar for Su-57 with 400 km detection and multi-target engagement; full integration enhances stealth BVR. F2T2EA: Su-57 Find/Fix; Tracks R-77M; Targets seeker S-111; Engage BVR; Assess Byelka.,"R-77M hypersonic BVR missile, S-111 BVR seeker, Su-35S fire-control",rus
